#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
PER,Peru,167406,"Violence against women ever experienced, intimate partner (% of female population ages 15 and older)",31.2,2005-2019
PER,Peru,174206,"Total debt service (% of exports of goods, services and primary income)",12.18592,2015-2018
PER,Peru,174306,Fossil fuel energy consumption (% of total energy consumption),79.55568,2013-2015
PER,Peru,175206,"Antenatal care coverage, at least one visit (%)",97,2009-2019
PER,Peru,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",76.3,2009-2019
PER,Peru,175606,"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",6.3,2009-2019
PER,Peru,175906,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, female (%)",24.44179,2009-2019
PER,Peru,177706,Survival rate to the last grade of lower secondary general education (%),94.38798,2008-2018
PER,Peru,178106,"Internet users, female (% of female population)",49.8579,2018
PER,Peru,178306,Gross capital formation (% of GDP),20.85343,2015-2019
PER,Peru,179406,Skilled labour force (% of labour force),58.0614,2010-2019
PER,Peru,179706,Ratio of education and health expenditure to military expenditure,7.190771,2010-2017
PER,Peru,180706,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, male (%)",36.82034,2009-2019
PER,Peru,181106,Birth registration (% under age 5),97.7,2009-2019
PER,Peru,181206,Proportion of births attended by skilled health personnel (%),92.1,2014-2019
PER,Peru,181306,Child labour (% ages 5-17),14.5,2010-2019
PER,Peru,181406,"Child marriage, women married by age 18 (% of women ages 20–24 who are married or in union)",17.4,2005-2019
PER,Peru,182806,Population using safely managed drinking-water services (%),50,2017
PER,Peru,183206,"Overall loss in HDI value due to inequality, average annual change (%)",-5.077846545,2010/2019
PER,Peru,183406,"Population in multidimensional poverty, headcount (thousands) (projection for 2018)",2358.199992,2008-2019
PER,Peru,183506,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)",47.80991,2009-2019
PER,Peru,183706,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%)",52.19009,2009-2019
PER,Peru,183806,Inequality among the poor,0.00662965,2008-2019
PER,Peru,184006,Proportion of informal employment in nonagricultural employment (% of total employment in nonagriculture),60.3,2011-2019
PER,Peru,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.52235,2009-2019
PER,Peru,185306,Percentage of primary schools with access to the internet,40.8,2010-2019
PER,Peru,185406,Percentage of secondary schools with access to the internet,74.2,2010-2019
PER,Peru,186806,Average annual change in the share of bottom 40 percent (%),2.028091,2005/2018
PER,Peru,186906,Income share held by poorest 40%,14.8,2010-2018
PER,Peru,187006,Income share held by richest 10 %,32.1,2010-2018
PER,Peru,193006,"Proportion of informal employment in nonagricultural employment, female (% of total employment in nonagriculture)",67.04,2011-2019
PER,Peru,194306,Share of seats held by women in local government (%),26.17,2017-2019
PER,Peru,195206,Population using safely managed sanitation services (%),43,2017
PER,Peru,44206,Total population (millions),36.030592,2030
PER,Peru,47906,Median age (years),30.984,2020
PER,Peru,110806,"Net migration rate (per 1,000 people)",3.123,2020
PER,Peru,21806,Refugees by country of origin (thousands),2.767,2019
PER,Peru,23806,Population with at least some secondary education (% ages 25 and older),64.09505,2019
PER,Peru,23906,"Population with at least some secondary education, female (% ages 25 and older)",58.94257,2019
PER,Peru,24006,"Population with at least some secondary education, male (% ages 25 and older)",69.37365,2019
PER,Peru,24106,"Mean years of schooling, female (years)",9.14771,2019
PER,Peru,24206,"Mean years of schooling, male (years)",10.25826,2019
PER,Peru,31706,Share of seats in parliament (% held by women),30,2019
PER,Peru,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",56.882,2019
PER,Peru,43006,Vulnerable employment (% of total employment),50.418,2019
PER,Peru,44206,Total population (millions),32.510462,2019
PER,Peru,45106,Urban population (%),78.1,2019
PER,Peru,48706,"Labour force participation rate (% ages 15 and older), female",70.281,2019
PER,Peru,48806,"Labour force participation rate (% ages 15 and older), male",85.143,2019
PER,Peru,49006,Sex ratio at birth (male to female births),1.05,2019
PER,Peru,52606,"Remittances, inflows (% of GDP)",1.4661797,2019
PER,Peru,63106,Population ages 15–64 (millions),21.571337,2019
PER,Peru,64306,"Infants lacking immunization, measles (% of one-year-olds)",15,2019
PER,Peru,64406,"Infants lacking immunization, DTP (% of one-year-olds)",3,2019
PER,Peru,65606,Gross fixed capital formation (% of GDP),21.16793913,2019
PER,Peru,68606,Gender Inequality Index (GII),0.395,2019
PER,Peru,69206,Life expectancy at birth (years),76.74,2019
PER,Peru,69706,Expected years of schooling (years),14.99071,2019
PER,Peru,71406,Inequality-adjusted education index,0.614121991,2019
PER,Peru,71506,Inequality-adjusted life expectancy index,0.778647385,2019
PER,Peru,71606,Inequality-adjusted income index,0.518761619,2019
PER,Peru,73506,Overall loss in HDI due to inequality (%),19.17631918,2019
PER,Peru,101606,Inequality in education (%),16.96786,2019
PER,Peru,101706,Inequality in income (%),28.57682,2019
PER,Peru,101806,Inequality in life expectancy (%),10.8,2019
PER,Peru,103006,Mean years of schooling (years),9.69633,2019
PER,Peru,103206,Life expectancy index,0.872923077,2019
PER,Peru,103606,Income index,0.726321089,2019
PER,Peru,103706,Education index,0.739619611,2019
PER,Peru,110906,"Unemployment, youth (% ages 15–24)",8.366,2019
PER,Peru,120606,"Life expectancy at birth, female (years)",79.507,2019
PER,Peru,121106,"Life expectancy at birth, male (years)",74.06,2019
PER,Peru,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),38.061,2019
PER,Peru,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),12.65,2019
PER,Peru,123306,"Expected years of schooling, female (years)",14.89292,2019
PER,Peru,123406,"Expected years of schooling, male (years)",15.08838,2019
PER,Peru,132706,Population ages 65 and older (millions),2.728791,2019
PER,Peru,132806,Population under age 5 (millions),2.810091,2019
PER,Peru,133206,Exports and imports (% of GDP),47.121893,2019
PER,Peru,135006,Coefficient of human inequality,18.78156,2019
PER,Peru,137506,Human Development Index (HDI),0.777,2019
PER,Peru,138806,Inequality-adjusted HDI (IHDI),0.628,2019
PER,Peru,140606,"Unemployment, total (% of labour force)",3.31,2019
PER,Peru,146206,HDI rank,79,2019
PER,Peru,147906,Youth not in school or employment (% ages 15-24),16.934,2019
PER,Peru,148206,Labour force participation rate (% ages 15 and older),77.633,2019
PER,Peru,148306,Employment to population ratio (% ages 15 and older),75.063,2019
PER,Peru,150606,Employment in agriculture (% of total employment),27.386,2019
PER,Peru,150706,Employment in services (% of total employment),57.268,2019
PER,Peru,153706,Working poor at PPP$3.20 a day (% of total employment),9.47,2019
PER,Peru,169706,Total unemployment rate (female to male ratio),1.056726596,2019
PER,Peru,169806,Youth unemployment rate (female to male ratio),1.31337931,2019
PER,Peru,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.67248415,2019
PER,Peru,178306,Gross capital formation (% of GDP),20.853433,2019
PER,Peru,179406,Skilled labour force (% of labour force),58.0614,2019
PER,Peru,181206,Proportion of births attended by skilled health personnel (%),92.1,2019
PER,Peru,181606,Red List Index (value),0.72873,2019
PER,Peru,184006,Proportion of informal employment in nonagricultural employment (% of total employment in nonagriculture),60.3,2019
PER,Peru,193006,"Proportion of informal employment in nonagricultural employment, female (% of total employment in nonagriculture)",67.04,2019
PER,Peru,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",417.6905682,2019
PER,Peru,194906,GDP per capita (2017 PPP $),12847.88521,2019
PER,Peru,195706,Gross national income (GNI) per capita (constant 2017 PPP$),12252.30018,2019
PER,Peru,23806,Population with at least some secondary education (% ages 25 and older),64.09505,2018
PER,Peru,23906,"Population with at least some secondary education, female (% ages 25 and older)",58.94257,2018
PER,Peru,24006,"Population with at least some secondary education, male (% ages 25 and older)",69.37365,2018
PER,Peru,24106,"Mean years of schooling, female (years)",8.7077,2018
PER,Peru,24206,"Mean years of schooling, male (years)",9.7231,2018
PER,Peru,31706,Share of seats in parliament (% held by women),27.69230769,2018
PER,Peru,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",58.241,2018
PER,Peru,38406,Multidimensional poverty index (MPI),0.0291864,2018
PER,Peru,38506,"Population in multidimensional poverty, intensity of deprivation (%)",39.59169,2018
PER,Peru,38606,"Population in multidimensional poverty, headcount (%)",7.371848,2018
PER,Peru,43006,Vulnerable employment (% of total employment),50.799,2018
PER,Peru,43606,"Internet users, total (% of population)",52.5403,2018
PER,Peru,44206,Total population (millions),31.989265,2018
PER,Peru,45106,Urban population (%),77.9,2018
PER,Peru,45806,Primary school teachers trained to teach (%),94.73621,2018
PER,Peru,46006,Mobile phone subscriptions (per 100 people),123.76,2018
PER,Peru,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",17.38724,2018
PER,Peru,48706,"Labour force participation rate (% ages 15 and older), female",69.969,2018
PER,Peru,48806,"Labour force participation rate (% ages 15 and older), male",84.777,2018
PER,Peru,52306,Research and development expenditure (% of GDP),0.12704,2018
PER,Peru,52606,"Remittances, inflows (% of GDP)",1.4522977,2018
PER,Peru,53506,"Foreign direct investment, net inflows (% of GDP)",2.9218884,2018
PER,Peru,57206,"Mortality rate, infant (per 1,000 live births)",11.105,2018
PER,Peru,57506,"Mortality rate, under-five (per 1,000 live births)",14.307944,2018
PER,Peru,57806,"Mortality rate, female adult (per 1,000 people)",84.815,2018
PER,Peru,57906,"Mortality rate, male adult (per 1,000 people)",146.37,2018
PER,Peru,58006,"HIV prevalence, adult (% ages 15-49)",0.3,2018
PER,Peru,63106,Population ages 15–64 (millions),21.151619,2018
PER,Peru,63206,"Gross enrolment ratio, primary (% of primary school-age population)",106.94512,2018
PER,Peru,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",106.44541,2018
PER,Peru,64306,"Infants lacking immunization, measles (% of one-year-olds)",15,2018
PER,Peru,64406,"Infants lacking immunization, DTP (% of one-year-olds)",10,2018
PER,Peru,65606,Gross fixed capital formation (% of GDP),21.00351753,2018
PER,Peru,68606,Gender Inequality Index (GII),0.401,2018
PER,Peru,69206,Life expectancy at birth (years),76.516,2018
PER,Peru,69706,Expected years of schooling (years),14.5689,2018
PER,Peru,71406,Inequality-adjusted education index,0.596232353,2018
PER,Peru,71506,Inequality-adjusted life expectancy index,0.775302139,2018
PER,Peru,71606,Inequality-adjusted income index,0.51991031,2018
PER,Peru,73506,Overall loss in HDI due to inequality (%),19.32555123,2018
PER,Peru,97306,Natural resource depletion (% of GNI),5.639028854,2018
PER,Peru,99106,Net official development assistance received (% of GNI),0.20912605,2018
PER,Peru,101006,Population in severe multidimensional poverty (%),1.082683,2018
PER,Peru,101406,"Literacy rate, adult (% ages 15 and older)",94.40827,2018
PER,Peru,101606,Inequality in education (%),18.089,2018
PER,Peru,101706,Inequality in income (%),28.3,2018
PER,Peru,101806,Inequality in life expectancy (%),10.8312,2018
PER,Peru,102006,"Population in multidimensional poverty, headcount (thousands) (for the year of the survey)",2358,2018
PER,Peru,103006,Mean years of schooling (years),9.69633,2018
PER,Peru,103206,Life expectancy index,0.869476923,2018
PER,Peru,103606,Income index,0.725118982,2018
PER,Peru,103706,Education index,0.727902667,2018
PER,Peru,110906,"Unemployment, youth (% ages 15–24)",8.558,2018
PER,Peru,111106,International inbound tourists (thousands),4419,2018
PER,Peru,111306,Private capital flows (% of GDP),-1.772708,2018
PER,Peru,117806,Contribution of deprivation in education to the Multidimensional Poverty Index,31.06732,2018
PER,Peru,117906,Contribution of deprivation in health to the Multidimensional Poverty Index,15.69976,2018
PER,Peru,118006,Contribution of deprivation in standard of living to the Multidimensional Poverty Index,53.23293,2018
PER,Peru,120606,"Life expectancy at birth, female (years)",79.28,2018
PER,Peru,121106,"Life expectancy at birth, male (years)",73.834,2018
PER,Peru,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),39.005,2018
PER,Peru,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),12.233,2018
PER,Peru,123306,"Expected years of schooling, female (years)",14.0545,2018
PER,Peru,123406,"Expected years of schooling, male (years)",13.7306,2018
PER,Peru,123506,"Estimated gross national income per capita, female (2017 PPP $)",9833.493121,2018
PER,Peru,123606,"Estimated gross national income per capita, male (2017 PPP $)",14508.45238,2018
PER,Peru,128306,"Prison population (per 100,000 people)",284.3,2018
PER,Peru,132706,Population ages 65 and older (millions),2.587417,2018
PER,Peru,132806,Population under age 5 (millions),2.756651,2018
PER,Peru,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",103.51692,2018
PER,Peru,133206,Exports and imports (% of GDP),48.913703,2018
PER,Peru,135006,Coefficient of human inequality,19.0734,2018
PER,Peru,136906,"Human Development Index (HDI), female",0.744165404,2018
PER,Peru,137006,"Human Development Index (HDI), male",0.771786888,2018
PER,Peru,137506,Human Development Index (HDI),0.771,2018
PER,Peru,137906,Gender Development Index (GDI),0.964210996,2018
PER,Peru,138806,Inequality-adjusted HDI (IHDI),0.622,2018
PER,Peru,140606,"Unemployment, total (% of labour force)",3.39,2018
PER,Peru,142506,Population vulnerable to multidimensional poverty (%),9.60644,2018
PER,Peru,146206,HDI rank,78,2018
PER,Peru,147906,Youth not in school or employment (% ages 15-24),17.032,2018
PER,Peru,148206,Labour force participation rate (% ages 15 and older),77.285,2018
PER,Peru,148306,Employment to population ratio (% ages 15 and older),74.665,2018
PER,Peru,149206,Government expenditure on education (% of GDP),3.71993,2018
PER,Peru,150606,Employment in agriculture (% of total employment),27.431,2018
PER,Peru,150706,Employment in services (% of total employment),57.1,2018
PER,Peru,153706,Working poor at PPP$3.20 a day (% of total employment),10.243,2018
PER,Peru,164406,Adjusted net savings (% of GNI),6.5926453,2018
PER,Peru,169706,Total unemployment rate (female to male ratio),1.040264423,2018
PER,Peru,169806,Youth unemployment rate (female to male ratio),0.959670027,2018
PER,Peru,170006,Concentration index (exports) (value),0.295177482,2018
PER,Peru,174206,"Total debt service (% of exports of goods, services and primary income)",12.185921,2018
PER,Peru,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.74410031,2018
PER,Peru,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",76.3,2018
PER,Peru,175606,"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",6.3,2018
PER,Peru,176806,Programme for International Student Assessment (PISA) score in science,404.215601,2018
PER,Peru,176906,Programme for International Student Assessment (PISA) score in reading,400.5137054,2018
PER,Peru,177006,Programme for International Student Assessment (PISA) score in mathematics,399.8376745,2018
PER,Peru,178306,Gross capital formation (% of GDP),21.301829,2018
PER,Peru,179406,Skilled labour force (% of labour force),57.2087,2018
PER,Peru,181206,Proportion of births attended by skilled health personnel (%),93.1,2018
PER,Peru,181706,Rural population with access to electricity (%),81.799981,2018
PER,Peru,182106,"Malaria incidence (per 1,000 people at risk)",4.65254,2018
PER,Peru,182206,"Tuberculosis incidence (per 100,000 people)",123,2018
PER,Peru,183406,"Population in multidimensional poverty, headcount (thousands) (projection for 2018)",2358,2018
PER,Peru,183806,Inequality among the poor,0.0066296,2018
PER,Peru,184006,Proportion of informal employment in nonagricultural employment (% of total employment in nonagriculture),59.91,2018
PER,Peru,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.52235,2018
PER,Peru,185306,Percentage of primary schools with access to the internet,40.8,2018
PER,Peru,185406,Percentage of secondary schools with access to the internet,74.2,2018
PER,Peru,193006,"Proportion of informal employment in nonagricultural employment, female (% of total employment in nonagriculture)",66.79,2018
PER,Peru,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",408.8987087,2018
PER,Peru,194906,GDP per capita (2017 PPP $),12782.37633,2018
PER,Peru,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",1.735938874,2018
PER,Peru,195706,Gross national income (GNI) per capita (constant 2017 PPP$),12155.18282,2018
PER,Peru,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",51.17,2018
PER,Peru,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",15.59,2018
PER,Peru,23806,Population with at least some secondary education (% ages 25 and older),63.47685667,2017
PER,Peru,23906,"Population with at least some secondary education, female (% ages 25 and older)",48.92322,2017
PER,Peru,24006,"Population with at least some secondary education, male (% ages 25 and older)",68.73551333,2017
PER,Peru,24106,"Mean years of schooling, female (years)",8.7077,2017
PER,Peru,24206,"Mean years of schooling, male (years)",9.7231,2017
PER,Peru,31706,Share of seats in parliament (% held by women),27.69230769,2017
PER,Peru,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",59.6,2017
PER,Peru,43006,Vulnerable employment (% of total employment),51.217,2017
PER,Peru,43606,"Internet users, total (% of population)",48.7276,2017
PER,Peru,44206,Total population (millions),31.444299,2017
PER,Peru,45106,Urban population (%),77.7,2017
PER,Peru,45806,Primary school teachers trained to teach (%),97.38061,2017
PER,Peru,46006,Mobile phone subscriptions (per 100 people),123.76,2017
PER,Peru,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",17.93677,2017
PER,Peru,48706,"Labour force participation rate (% ages 15 and older), female",69.462,2017
PER,Peru,48806,"Labour force participation rate (% ages 15 and older), male",84.584,2017
PER,Peru,52306,Research and development expenditure (% of GDP),0.12101,2017
PER,Peru,52606,"Remittances, inflows (% of GDP)",1.4460354,2017
PER,Peru,53506,"Foreign direct investment, net inflows (% of GDP)",3.2513073,2017
PER,Peru,57206,"Mortality rate, infant (per 1,000 live births)",11.543091,2017
PER,Peru,57506,"Mortality rate, under-five (per 1,000 live births)",14.871198,2017
PER,Peru,57806,"Mortality rate, female adult (per 1,000 people)",91.986,2017
PER,Peru,57906,"Mortality rate, male adult (per 1,000 people)",149.878,2017
PER,Peru,58006,"HIV prevalence, adult (% ages 15-49)",0.3,2017
PER,Peru,61006,"Homicide rate (per 100,000 people)",7.909223863,2017
PER,Peru,63106,Population ages 15–64 (millions),20.698744,2017
PER,Peru,63206,"Gross enrolment ratio, primary (% of primary school-age population)",103.51957,2017
PER,Peru,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",104.69385,2017
PER,Peru,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",70.73786,2017
PER,Peru,64306,"Infants lacking immunization, measles (% of one-year-olds)",17,2017
PER,Peru,64406,"Infants lacking immunization, DTP (% of one-year-olds)",10,2017
PER,Peru,65606,Gross fixed capital formation (% of GDP),20.60759692,2017
PER,Peru,68606,Gender Inequality Index (GII),0.411,2017
PER,Peru,69206,Life expectancy at birth (years),76.286,2017
PER,Peru,69706,Expected years of schooling (years),14.5293,2017
PER,Peru,71406,Inequality-adjusted education index,0.611087843,2017
PER,Peru,71506,Inequality-adjusted life expectancy index,0.751634585,2017
PER,Peru,71606,Inequality-adjusted income index,0.517895289,2017
PER,Peru,73506,Overall loss in HDI due to inequality (%),19.16558018,2017
PER,Peru,89006,"Maternal mortality ratio (deaths per 100,000 live births)",88,2017
PER,Peru,97306,Natural resource depletion (% of GNI),5.612501221,2017
PER,Peru,99106,Net official development assistance received (% of GNI),-0.00259315,2017
PER,Peru,101406,"Literacy rate, adult (% ages 15 and older)",94.14961,2017
PER,Peru,101606,Inequality in education (%),15.3,2017
PER,Peru,101706,Inequality in income (%),28.3,2017
PER,Peru,101806,Inequality in life expectancy (%),13.2,2017
PER,Peru,103006,Mean years of schooling (years),9.5364475,2017
PER,Peru,103206,Life expectancy index,0.865938462,2017
PER,Peru,103606,Income index,0.722308631,2017
PER,Peru,103706,Education index,0.72147325,2017
PER,Peru,110906,"Unemployment, youth (% ages 15–24)",8.602,2017
PER,Peru,111106,International inbound tourists (thousands),4032,2017
PER,Peru,111306,Private capital flows (% of GDP),-5.642506,2017
PER,Peru,120606,"Life expectancy at birth, female (years)",79.031,2017
PER,Peru,121106,"Life expectancy at birth, male (years)",73.612,2017
PER,Peru,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),40.048,2017
PER,Peru,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),11.866,2017
PER,Peru,123306,"Expected years of schooling, female (years)",13.9304,2017
PER,Peru,123406,"Expected years of schooling, male (years)",13.6094,2017
PER,Peru,123506,"Estimated gross national income per capita, female (2017 PPP $)",9643.132049,2017
PER,Peru,123606,"Estimated gross national income per capita, male (2017 PPP $)",14251.04257,2017
PER,Peru,128306,"Prison population (per 100,000 people)",272.9,2017
PER,Peru,132706,Population ages 65 and older (millions),2.456052,2017
PER,Peru,132806,Population under age 5 (millions),2.705256,2017
PER,Peru,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",98.24328,2017
PER,Peru,133206,Exports and imports (% of GDP),47.51355,2017
PER,Peru,135006,Coefficient of human inequality,18.93333333,2017
PER,Peru,136906,"Human Development Index (HDI), female",0.740764455,2017
PER,Peru,137006,"Human Development Index (HDI), male",0.768620066,2017
PER,Peru,137506,Human Development Index (HDI),0.767,2017
PER,Peru,137906,Gender Development Index (GDI),0.963758934,2017
PER,Peru,138806,Inequality-adjusted HDI (IHDI),0.62,2017
PER,Peru,140606,"Unemployment, total (% of labour force)",3.46,2017
PER,Peru,147906,Youth not in school or employment (% ages 15-24),17.677,2017
PER,Peru,148206,Labour force participation rate (% ages 15 and older),76.921,2017
PER,Peru,148306,Employment to population ratio (% ages 15 and older),74.259,2017
PER,Peru,149206,Government expenditure on education (% of GDP),3.93676,2017
PER,Peru,150606,Employment in agriculture (% of total employment),27.693,2017
PER,Peru,150706,Employment in services (% of total employment),56.653,2017
PER,Peru,153706,Working poor at PPP$3.20 a day (% of total employment),11.187,2017
PER,Peru,164406,Adjusted net savings (% of GNI),7.1276664,2017
PER,Peru,169706,Total unemployment rate (female to male ratio),1.022189781,2017
PER,Peru,169806,Youth unemployment rate (female to male ratio),0.96692607,2017
PER,Peru,170006,Concentration index (exports) (value),0.299029688,2017
PER,Peru,174206,"Total debt service (% of exports of goods, services and primary income)",20.506665,2017
PER,Peru,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.77211465,2017
PER,Peru,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",75.4,2017
PER,Peru,175606,"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",6.5,2017
PER,Peru,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),34.435215,2017
PER,Peru,175906,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, female (%)",24.44179,2017
PER,Peru,177706,Survival rate to the last grade of lower secondary general education (%),94.38798,2017
PER,Peru,178306,Gross capital formation (% of GDP),20.711814,2017
PER,Peru,179406,Skilled labour force (% of labour force),56.6112,2017
PER,Peru,179706,Ratio of education and health expenditure to military expenditure,7.190771,2017
PER,Peru,180706,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, male (%)",36.82034,2017
PER,Peru,181206,Proportion of births attended by skilled health personnel (%),93.6,2017
PER,Peru,181706,Rural population with access to electricity (%),80.497845,2017
PER,Peru,181806,Current health expenditure (% of GDP),4.99515,2017
PER,Peru,182106,"Malaria incidence (per 1,000 people at risk)",5.87187,2017
PER,Peru,182206,"Tuberculosis incidence (per 100,000 people)",119,2017
PER,Peru,182806,Population using safely managed drinking-water services (%),50,2017
PER,Peru,183506,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)",47.80991,2017
PER,Peru,183706,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%)",52.19009,2017
PER,Peru,183906,"Labour share of GDP, comprising wages and social protection transfers (%)",46.09999847,2017
PER,Peru,184006,Proportion of informal employment in nonagricultural employment (% of total employment in nonagriculture),59.2,2017
PER,Peru,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.77924,2017
PER,Peru,185306,Percentage of primary schools with access to the internet,38.2,2017
PER,Peru,185406,Percentage of secondary schools with access to the internet,70.8,2017
